No;No. Pendaftaran KIP;Nama Siswa2;Prodi;NIK;No. Kartu Keluarga;NIK Kepala Keluarga;NISN;Status DTKS;Validasi DTKS;Status P3KE;Validasi P3KE;No. KIP;Validasi KIP;No. KKS;Asal Sekolah;Kab/Kota Sekolah;Provinsi Sekolah;Tempat Lahir;Tanggal Lahir;Jenis Kelamin;Alamat Tinggal;No. Handphone;Alamat Email;Alamat IG/ Twitter/ Tiktok;Nama Ayah;Pekerjaan Ayah;Ket. Pekerjaan Ayah;Penghasilan Ayah; Ket. Penghasilan Ayah/ bln ;Status Ayah;Nama Ibu;Pekerjaan Ibu;Ket. Pekerjaan Ibu;Penghasilan Ibu; Ket. Penghasilan Ibu/ bln ;Status Ibu;Wali (jika ada); Penghasilan lain/ bln ;Jumlah Tanggungan;Jml Tanggungan Sebenarnya; Nominal per kapita ;Kepemilikan Rumah;Tahun Perolehan;Sumber Listrik;Luas Tanah;Luas Bangunan;Sumber Air;MCK;Kondisi Rumah;Jarak Pusat Kota (KM);Prestasi;Rekomendasi;Alasan;Nama Pewawancara;Alasan Penguat nanti jadi role model undip
592;1125.203.99914.4444.001;Siswa SNBP 592;S1 ILMU KOMUNIKASI;3303463538789433;3301270908741540;3307848400380724;0040647013;Belum Terdata;tidak ada;Belum Terdata;tidak ada;-;tidak ada;-;SMAN 1 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081275330555;siswa592@gmail.com;ig: @siswa592;Nama Ayah;Peg. Swasta;Pekerjaan Detail;> Rp. 3.000.000;5836714;Hidup;Nama Ibu;Peg. Swasta;Pekerja;> Rp. 2.000.000;1007121;Hidup;;0;5 Orang;5;1368767;Sendiri;2010;PLN;100 - 200 M2;>200 M2;Sungai/Mata Air;Kepemilikan Sendiri Didalam;Tidak Layak Menerima Beasiswa;1;Medali Emas Olimpiade Sains Nasional;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Dwi Kurniawan;Mampu membayar UKT mandiri.
593;1125.203.99940.8590.001;Siswa SNBP 593;S1 ILMU HUKUM;3309431910781329;3306029901503137;3303185801540030;0097065482;Terdata;ada;Terdata: Desil 1;ada;A1B2C1;ada;KKS004;SMAN 1 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081278960174;siswa593@gmail.com;ig: @siswa593;Nama Ayah;Peg. Swasta;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1465354;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;276646;Hidup;;0;2 Orang;2;871000;Sendiri;1999;PLN;>200 M2;50-99 M2;PDAM;Kepemilikan Sendiri Diluar;Layak Menerima Beasiswa;31;Eligible 1 Rumpun Saintek;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Siska Nurul;Mampu membayar UKT mandiri.
594;1125.203.99963.3778.001;Siswa SNBP 594;S1 KEDOKTERAN;3303754122877701;3308671331129075;3302158568657712;0086599011;Terdata;ada;Terdata: Desil 2;ada;A1B2C2;ada;KKS002;SMAN 1 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081273003726;siswa594@gmail.com;ig: @siswa594;Nama Ayah;Peg. Swasta;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1287876;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;239581;Hidup;;0;6 Orang;6;254576;Sendiri;2004;PLN;>200 M2;< 25 M2;Sumur;Berbagi Pakai;Layak Menerima Beasiswa;8;Ketua OSIS SMA 2 Periode;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Rina Amelia;Siswa SNBP berprestasi, tekad kuat.
595;1125.203.99936.6895.001;Siswa SNBP 595;S1 MANAJEMEN;3302544478790460;3301457902733218;3305029435326489;0032168129;Belum Terdata;tidak ada;Belum Terdata;tidak ada;-;tidak ada;-;SMAN 4 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081255986148;siswa595@gmail.com;ig: @siswa595;Nama Ayah;Wirausaha;Pekerjaan Detail;> Rp. 3.000.000;3464151;Hidup;Nama Ibu;Wirausaha;Pekerja;> Rp. 2.000.000;2937781;Hidup;;0;5 Orang;5;1280386;Sendiri;2023;PLN;100 - 200 M2;< 25 M2;PDAM;Kepemilikan Sendiri Didalam;Tidak Layak Menerima Beasiswa;27;Juara 2 Debat Bahasa Indonesia Provinsi;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Budi Santoso;Mampu membayar UKT mandiri.
596;1125.203.99946.9673.001;Siswa SNBP 596;S1 MANAJEMEN;3301149956495776;3307150038836368;3303331764188481;0022762677;Belum Terdata;tidak ada;Belum Terdata;tidak ada;-;tidak ada;-;SMAN 5 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081290416283;siswa596@gmail.com;ig: @siswa596;Nama Ayah;TIDAK BEKERJA;Pekerjaan Detail;> Rp. 3.000.000;4729893;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;681780;Hidup;;0;5 Orang;5;1082334;Sendiri;1992;PLN;< 25 M2;< 25 M2;PDAM;Kepemilikan Sendiri Diluar;Tidak Layak Menerima Beasiswa;1;Juara 1 OSN Tingkat Provinsi;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Dwi Kurniawan;Mampu membayar UKT mandiri.
597;1125.203.99943.6463.001;Siswa SNBP 597;S1 AGROEKOTEKNOLOGI;3306843260084378;3302688075110276;3307903965130328;0044777125;Belum Terdata;tidak ada;Terdata: Desil 5;tidak ada;-;tidak ada;-;SMAN 5 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081281530294;siswa597@gmail.com;ig: @siswa597;Nama Ayah;Peg. Swasta;Pekerjaan Detail;> Rp. 3.000.000;6420346;Hidup;Nama Ibu;Wirausaha;Pekerja;> Rp. 2.000.000;2819228;Hidup;;0;5 Orang;5;1847914;Sendiri;1993;PLN;>200 M2;50-99 M2;PDAM;Kepemilikan Sendiri Diluar;Tidak Layak Menerima Beasiswa;3;Eligible 1 Rumpun Saintek;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Andi Pratama;Mampu membayar UKT mandiri.
598;1125.203.99981.9433.001;Siswa SNBP 598;S1 AKUNTANSI;3306551051919861;3307380229292060;3301965922070274;0078462085;Terdata;ada;Terdata: Desil 2;ada;A1B2C1;ada;KKS006;SMAN 2 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081275702643;siswa598@gmail.com;ig: @siswa598;Nama Ayah;Wirausaha;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1317673;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;254029;Hidup;;0;6 Orang;6;261950;Sendiri;2011;PLN;100 - 200 M2;25-50 M2;PDAM;Kepemilikan Sendiri Diluar;Layak Menerima Beasiswa;6;Juara 2 Debat Bahasa Indonesia Provinsi;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Budi Santoso;Siswa SNBP berprestasi, tekad kuat.
599;1125.203.99999.9713.001;Siswa SNBP 599;S1 TEKNIK SIPIL;3306640606579417;3305059190702986;3308574269030921;0046279492;Terdata;ada;Terdata: Desil 1;ada;A1B2C4;ada;KKS007;SMAN 3 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081270987756;siswa599@gmail.com;ig: @siswa599;Nama Ayah;Petani;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1269037;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;319254;Hidup;;0;6 Orang;6;264715;Menumpang;2017;PLN;>200 M2;50-99 M2;Sumur;Kepemilikan Sendiri Diluar;Layak Menerima Beasiswa;6;Juara 2 Debat Bahasa Indonesia Provinsi;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Rina Amelia;Siswa SNBP berprestasi, tekad kuat.
600;1125.203.99928.3456.001;Siswa SNBP 600;S1 TEKNIK INFORMATIKA;3306433568827617;3307226849560438;3304470273462759;0095067244;Belum Terdata;tidak ada;Belum Terdata;tidak ada;-;tidak ada;-;SMAN 5 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081257304616;siswa600@gmail.com;ig: @siswa600;Nama Ayah;Lainnya;Pekerjaan Detail;> Rp. 3.000.000;5919740;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;851189;Hidup;;0;5 Orang;5;1354185;Sendiri;1995;PLN;25-50 M2;100 - 200 M2;PDAM;Kepemilikan Sendiri Diluar;Tidak Layak Menerima Beasiswa;23;Medali Emas Olimpiade Sains Nasional;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Rina Amelia;Mampu membayar UKT mandiri.
601;1125.203.99941.9742.001;Siswa SNBP 601;S1 KESEHATAN MASYARAKAT;3306655720745167;3304851408818627;3309808350874276;0071172052;Terdata;ada;Terdata: Desil 3;ada;A1B2C4;ada;KKS008;SMAN 2 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081229288411;siswa601@gmail.com;ig: @siswa601;Nama Ayah;Lainnya;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;960017;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;473594;Hidup;;0;5 Orang;5;286722;Sendiri;2014;PLN;50-99 M2;50-99 M2;PDAM;Kepemilikan Sendiri Diluar;Layak Menerima Beasiswa;5;Eligible 1 Rumpun Saintek;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Budi Santoso;Siswa SNBP berprestasi, tekad kuat.
602;1125.203.99912.1643.001;Siswa SNBP 602;S1 PSIKOLOGI;3302802116288562;3307868169105081;3308042244145944;0024001329;Belum Terdata;tidak ada;Belum Terdata;tidak ada;-;tidak ada;-;SMAN 1 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081268147097;siswa602@gmail.com;ig: @siswa602;Nama Ayah;Buruh Harian;Pekerjaan Detail;> Rp. 3.000.000;4648185;Hidup;Nama Ibu;Wirausaha;Pekerja;> Rp. 2.000.000;3283248;Hidup;;0;6 Orang;6;1321905;Sendiri;1997;PLN;>200 M2;< 25 M2;PDAM;Kepemilikan Sendiri Didalam;Tidak Layak Menerima Beasiswa;17;Medali Emas Olimpiade Sains Nasional;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Rina Amelia;Mampu membayar UKT mandiri.
603;1125.203.99949.4998.001;Siswa SNBP 603;S1 ILMU KOMUNIKASI;3302009201792253;3309149028273642;3301678005387647;0049480849;Belum Terdata;tidak ada;Terdata: Desil 6;tidak ada;-;tidak ada;-;SMAN 3 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081216379450;siswa603@gmail.com;ig: @siswa603;Nama Ayah;Wirausaha;Pekerjaan Detail;> Rp. 3.000.000;6585819;Hidup;Nama Ibu;Wirausaha;Pekerja;> Rp. 2.000.000;3186137;Hidup;;0;4 Orang;4;2442989;Sendiri;2021;PLN;< 25 M2;100 - 200 M2;Sungai/Mata Air;Berbagi Pakai;Tidak Layak Menerima Beasiswa;32;Juara Umum 1 Paralel Sekolah;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Rina Amelia;Mampu membayar UKT mandiri.
604;1125.203.99934.5912.001;Siswa SNBP 604;S1 ILMU KOMUNIKASI;3309596502226650;3307504104218633;3304906403289575;0045145168;Terdata;ada;Terdata: Desil 1;ada;A1B2C7;ada;KKS003;SMAN 5 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081260799837;siswa604@gmail.com;ig: @siswa604;Nama Ayah;Petani;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1448064;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;41271;Hidup;;0;6 Orang;6;248222;Menumpang;1991;PLN;25-50 M2;50-99 M2;Sumur;Berbagi Pakai;Layak Menerima Beasiswa;21;Juara 1 OSN Tingkat Provinsi;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Dwi Kurniawan;Siswa SNBP berprestasi, tekad kuat.
605;1125.203.99990.7636.001;Siswa SNBP 605;S1 TEKNIK SIPIL;3304668275293801;3302108786242424;3303033305511889;0048498172;Belum Terdata;tidak ada;Belum Terdata;tidak ada;-;tidak ada;-;SMAN 1 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081265587223;siswa605@gmail.com;ig: @siswa605;Nama Ayah;Buruh Harian;Pekerjaan Detail;> Rp. 3.000.000;5170488;Hidup;Nama Ibu;Wirausaha;Pekerja;> Rp. 2.000.000;2571831;Hidup;;0;5 Orang;5;1548463;Sendiri;2010;PLN;25-50 M2;100 - 200 M2;PDAM;Kepemilikan Sendiri Didalam;Tidak Layak Menerima Beasiswa;50;Juara 2 Debat Bahasa Indonesia Provinsi;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Siska Nurul;Mampu membayar UKT mandiri.
606;1125.203.99933.2841.001;Siswa SNBP 606;S1 KESEHATAN MASYARAKAT;3302042149445869;3307543369381957;3301065812464048;0036579487;Belum Terdata;tidak ada;Belum Terdata;tidak ada;-;tidak ada;-;SMAN 4 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081269365293;siswa606@gmail.com;ig: @siswa606;Nama Ayah;Peg. Swasta;Pekerjaan Detail;> Rp. 3.000.000;7500997;Hidup;Nama Ibu;Peg. Swasta;Pekerja;> Rp. 2.000.000;2956815;Hidup;;0;2 Orang;2;5228906;Sendiri;1996;PLN;100 - 200 M2;50-99 M2;Sungai/Mata Air;Berbagi Pakai;Tidak Layak Menerima Beasiswa;30;Juara 2 Debat Bahasa Indonesia Provinsi;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Budi Santoso;Mampu membayar UKT mandiri.
607;1125.203.99974.5121.001;Siswa SNBP 607;S1 AGROEKOTEKNOLOGI;3308399890394797;3304920436687367;3305854331182273;0034130843;Terdata;ada;Terdata: Desil 2;ada;A1B2C8;ada;KKS003;SMAN 2 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081295264750;siswa607@gmail.com;ig: @siswa607;Nama Ayah;Petani;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;935940;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;9540;Hidup;;0;2 Orang;2;472740;Menumpang;2015;PLN;100 - 200 M2;100 - 200 M2;Sungai/Mata Air;Berbagi Pakai;Layak Menerima Beasiswa;19;Juara 2 Debat Bahasa Indonesia Provinsi;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Andi Pratama;Siswa SNBP berprestasi, tekad kuat.
608;1125.203.99930.3703.001;Siswa SNBP 608;S1 KESEHATAN MASYARAKAT;3308258942448716;3305490875843357;3301680102901246;0081260118;Belum Terdata;tidak ada;Belum Terdata;tidak ada;-;tidak ada;-;SMAN 5 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081235888326;siswa608@gmail.com;ig: @siswa608;Nama Ayah;Peg. Swasta;Pekerjaan Detail;> Rp. 3.000.000;3446497;Hidup;Nama Ibu;Wirausaha;Pekerja;> Rp. 2.000.000;3163689;Hidup;;0;3 Orang;3;2203395;Sendiri;1995;PLN;50-99 M2;100 - 200 M2;Sungai/Mata Air;Berbagi Pakai;Tidak Layak Menerima Beasiswa;39;Juara 1 Lomba KTI Nasional;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Budi Santoso;Mampu membayar UKT mandiri.
609;1125.203.99958.7503.001;Siswa SNBP 609;S1 TEKNIK INFORMATIKA;3309224539879452;3308805836755576;3305139070447320;0074657321;Belum Terdata;tidak ada;Belum Terdata;tidak ada;-;tidak ada;-;SMAN 2 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081268271367;siswa609@gmail.com;ig: @siswa609;Nama Ayah;Buruh Harian;Pekerjaan Detail;> Rp. 3.000.000;6197184;Hidup;Nama Ibu;Wirausaha;Pekerja;> Rp. 2.000.000;3961291;Hidup;;0;6 Orang;6;1693079;Sendiri;2021;PLN;100 - 200 M2;25-50 M2;PDAM;Berbagi Pakai;Tidak Layak Menerima Beasiswa;49;Juara 2 Debat Bahasa Indonesia Provinsi;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Rina Amelia;Mampu membayar UKT mandiri.
610;1125.203.99910.4236.001;Siswa SNBP 610;S1 AKUNTANSI;3302638254607514;3307623015609789;3307155703792438;0078945423;Terdata;ada;Terdata: Desil 4;ada;A1B2C7;ada;KKS002;SMAN 2 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081247473283;siswa610@gmail.com;ig: @siswa610;Nama Ayah;Buruh Harian;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;920265;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;132574;Hidup;;0;6 Orang;6;175473;Sendiri;2007;PLN;100 - 200 M2;25-50 M2;PDAM;Berbagi Pakai;Layak Menerima Beasiswa;13;Ketua OSIS SMA 2 Periode;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Rina Amelia;Siswa SNBP berprestasi, tekad kuat.
611;1125.203.99959.9066.001;Siswa SNBP 611;S1 KESEHATAN MASYARAKAT;3303894586020893;3303205525512966;3303192613512742;0060401673;Terdata;ada;Terdata: Desil 1;ada;A1B2C4;ada;KKS005;SMAN 4 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081230692066;siswa611@gmail.com;ig: @siswa611;Nama Ayah;Peg. Swasta;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;660698;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;315195;Hidup;;0;5 Orang;5;195178;Sendiri;2004;PLN;< 25 M2;< 25 M2;Sumur;Berbagi Pakai;Layak Menerima Beasiswa;31;Juara Umum 1 Paralel Sekolah;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Dwi Kurniawan;Siswa SNBP berprestasi, tekad kuat.
612;1125.203.99999.3731.001;Siswa SNBP 612;S1 TEKNIK INFORMATIKA;3307819227789200;3309413387820189;3303970196458830;0053493334;Belum Terdata;tidak ada;Belum Terdata;tidak ada;-;tidak ada;-;SMAN 3 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081250236279;siswa612@gmail.com;ig: @siswa612;Nama Ayah;Wirausaha;Pekerjaan Detail;> Rp. 3.000.000;6166606;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;850781;Hidup;;0;5 Orang;5;1403477;Sendiri;2013;PLN;>200 M2;25-50 M2;PDAM;Berbagi Pakai;Tidak Layak Menerima Beasiswa;16;Juara Umum 1 Paralel Sekolah;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Siska Nurul;Mampu membayar UKT mandiri.
613;1125.203.99968.1894.001;Siswa SNBP 613;S1 ILMU KOMUNIKASI;3307558314614817;3302269856304361;3305072662895169;0021632271;Belum Terdata;tidak ada;Belum Terdata;tidak ada;-;tidak ada;-;SMAN 5 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081265045528;siswa613@gmail.com;ig: @siswa613;Nama Ayah;Lainnya;Pekerjaan Detail;> Rp. 3.000.000;6021688;Hidup;Nama Ibu;Peg. Swasta;Pekerja;> Rp. 2.000.000;3741224;Hidup;;0;4 Orang;4;2440728;Sendiri;1990;PLN;25-50 M2;50-99 M2;Sungai/Mata Air;Berbagi Pakai;Tidak Layak Menerima Beasiswa;8;Eligible 1 Rumpun Saintek;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Budi Santoso;Mampu membayar UKT mandiri.
614;1125.203.99916.7725.001;Siswa SNBP 614;S1 MANAJEMEN;3301138082642112;3307108021317353;3305726624946773;0012252606;Terdata;ada;Terdata: Desil 2;ada;A1B2C6;ada;KKS008;SMAN 1 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081287928460;siswa614@gmail.com;ig: @siswa614;Nama Ayah;Petani;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1031996;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;60189;Hidup;;0;6 Orang;6;182030;Menumpang;2003;PLN;25-50 M2;>200 M2;Sumur;Kepemilikan Sendiri Diluar;Layak Menerima Beasiswa;16;Eligible 1 Rumpun Saintek;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Rina Amelia;Siswa SNBP berprestasi, tekad kuat.
615;1125.203.99939.6908.001;Siswa SNBP 615;S1 KEDOKTERAN;3306017864294822;3306587302018293;3303782860786543;0010079864;Terdata;ada;Terdata: Desil 3;ada;A1B2C5;ada;KKS006;SMAN 1 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081247674857;siswa615@gmail.com;ig: @siswa615;Nama Ayah;Lainnya;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;564566;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;290707;Hidup;;0;3 Orang;3;285091;Menumpang;2022;PLN;>200 M2;>200 M2;PDAM;Berbagi Pakai;Layak Menerima Beasiswa;5;Juara 1 FLS2N Tingkat Nasional;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Dwi Kurniawan;Siswa SNBP berprestasi, tekad kuat.
616;1125.203.99958.3231.001;Siswa SNBP 616;S1 AKUNTANSI;3309110164592719;3302849047637801;3307307392493581;0065023297;Terdata;ada;Terdata: Desil 2;ada;A1B2C1;ada;KKS003;SMAN 4 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081284625733;siswa616@gmail.com;ig: @siswa616;Nama Ayah;Peg. Swasta;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;552294;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;368952;Hidup;;0;6 Orang;6;153541;Sendiri;1999;PLN;25-50 M2;>200 M2;Sumur;Kepemilikan Sendiri Diluar;Layak Menerima Beasiswa;27;Juara 1 OSN Tingkat Provinsi;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Budi Santoso;Siswa SNBP berprestasi, tekad kuat.
617;1125.203.99917.7999.001;Siswa SNBP 617;S1 PSIKOLOGI;3309933517350776;3308772909795688;3307017776598021;0082902606;Terdata;ada;Terdata: Desil 1;ada;A1B2C2;ada;KKS008;SMAN 3 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081276987908;siswa617@gmail.com;ig: @siswa617;Nama Ayah;Lainnya;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;696019;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;279957;Hidup;;0;4 Orang;4;243994;Sewa Tahunan;2004;PLN;< 25 M2;>200 M2;Sungai/Mata Air;Berbagi Pakai;Layak Menerima Beasiswa;2;Juara 1 Lomba KTI Nasional;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Siska Nurul;Siswa SNBP berprestasi, tekad kuat.
618;1125.203.99940.9151.001;Siswa SNBP 618;S1 TEKNIK INFORMATIKA;3301092145740755;3307873909885832;3304482691763725;0018891457;Belum Terdata;tidak ada;Terdata: Desil 5;tidak ada;-;tidak ada;-;SMAN 2 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081248035975;siswa618@gmail.com;ig: @siswa618;Nama Ayah;TIDAK BEKERJA;Pekerjaan Detail;> Rp. 3.000.000;7863217;Hidup;Nama Ibu;Peg. Swasta;Pekerja;> Rp. 2.000.000;1513221;Hidup;;0;6 Orang;6;1562739;Sendiri;2016;PLN;>200 M2;< 25 M2;Sungai/Mata Air;Kepemilikan Sendiri Diluar;Tidak Layak Menerima Beasiswa;13;Juara 1 FLS2N Tingkat Nasional;Tidak diusulkan menerima KIP;Penghasilan orang tua melebihi batas, aset memadai;Rina Amelia;Mampu membayar UKT mandiri.
619;1125.203.99939.2663.001;Siswa SNBP 619;S1 KESEHATAN MASYARAKAT;3304007725009324;3307821145191469;3306820103644207;0050159700;Terdata;ada;Terdata: Desil 2;ada;A1B2C8;ada;KKS003;SMAN 5 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081272288881;siswa619@gmail.com;ig: @siswa619;Nama Ayah;Petani;Pekerjaan Detail;Rp. 1.000.001 - Rp. 2.000.000;1150029;Hidup;Nama Ibu;Peg. Swasta;Pekerja;Rp. 250.001 - Rp. 1.000.000;187016;Hidup;;0;6 Orang;6;222840;Sendiri;2014;PLN;50-99 M2;< 25 M2;Sungai/Mata Air;Kepemilikan Sendiri Diluar;Layak Menerima Beasiswa;39;Juara 2 Debat Bahasa Indonesia Provinsi;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Siska Nurul;Siswa SNBP berprestasi, tekad kuat.
620;1125.203.99976.6403.001;Siswa SNBP 620;S1 ILMU HUKUM;3307868236140296;3302851867067598;3307738378096046;0013628994;Terdata;ada;Terdata: Desil 4;ada;A1B2C7;ada;KKS004;SMAN 2 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;L;Jl. Merdeka;081219966758;siswa620@gmail.com;ig: @siswa620;Nama Ayah;Wirausaha;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;639912;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;154312;Hidup;;0;2 Orang;2;397112;Sewa Tahunan;2019;PLN;< 25 M2;25-50 M2;PDAM;Berbagi Pakai;Layak Menerima Beasiswa;14;Juara 1 OSN Tingkat Provinsi;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Siska Nurul;Siswa SNBP berprestasi, tekad kuat.
621;1125.203.99962.8778.001;Siswa SNBP 621;S1 KESEHATAN MASYARAKAT;3301331511096364;3303545421011044;3303511983670619;0046071615;Terdata;ada;Terdata: Desil 1;ada;A1B2C3;ada;KKS009;SMAN 3 KOTA;Kabupaten;Provinsi;Kota;12/12/2005;P;Jl. Merdeka;081296934005;siswa621@gmail.com;ig: @siswa621;Nama Ayah;Petani;Pekerjaan Detail;Rp. 750.001 - Rp. 1.000.000;859458;Hidup;Nama Ibu;Wirausaha;Pekerja;Rp. 250.001 - Rp. 1.000.000;128616;Hidup;;0;3 Orang;3;329358;Sewa Bulanan;2009;PLN;< 25 M2;>200 M2;Sumur;Kepemilikan Sendiri Didalam;Layak Menerima Beasiswa;15;Ketua OSIS SMA 2 Periode;Diusulkan menerima KIP;Ekonomi sangat kurang, layak dibantu;Andi Pratama;Siswa SNBP berprestasi, tekad kuat.
